,Territory,Language,Speakers,Population%,Literacy%,Written%,Latitude,Longitude
0,Afghanistan,Persian,18000000.0,50.0,28.0,28.0,33.93911,67.709953
1,Afghanistan,Pashto,16000000.0,43.0,28.0,28.0,33.93911,67.709953
2,Afghanistan,Hazaragi,2200000.0,5.9,28.0,28.0,33.93911,67.709953
3,Afghanistan,Uzbek (Arabic),1700000.0,4.7,28.0,28.0,33.93911,67.709953
4,Afghanistan,Turkmen,620.0,1.7,28.0,28.0,33.93911,67.709953
5,Afghanistan,Parsi-Dari,440.0,1.2,28.0,28.0,33.93911,67.709953
6,Afghanistan,Western Balochi,230.0,0.63,28.0,5.0,33.93911,67.709953
7,Afghanistan,Uyghur,3.0,82.0,28.0,28.0,33.93911,67.709953
8,Afghanistan,Kazakh (Arabic),2.0,55.0,28.0,28.0,33.93911,67.709953
9,Albania,Albanian,3100000.0,100.0,97.0,97.0,41.153332,20.168331
10,Albania,Greek,58.0,1.9,97.0,97.0,41.153332,20.168331
11,Albania,Macedonian,14.0,0.47,97.0,97.0,41.153332,20.168331
12,Algeria,Algerian Arabic,36000000.0,83.0,73.0,73.0,28.033886,1.659626
13,Algeria,Arabic,32000000.0,74.0,73.0,73.0,28.033886,1.659626
14,Algeria,French,8600000.0,20.0,73.0,73.0,28.033886,1.659626
15,Algeria,Kabyle,3400000.0,7.8,10.0,10.0,28.033886,1.659626
16,Algeria,English,3000000.0,7.0,73.0,73.0,28.033886,1.659626
17,American Samoa,Samoan,49.0,99.0,97.0,97.0,-14.270972,-170.132217
18,American Samoa,English,48.0,97.0,97.0,97.0,-14.270972,-170.132217
19,Andorra,Catalan,39.0,51.0,100.0,100.0,42.546245,1.601554
20,Andorra,Spanish,33.0,43.0,100.0,100.0,42.546245,1.601554
21,Andorra,French,58.0,7.5,100.0,100.0,42.546245,1.601554
22,Angola,Portuguese,22000000.0,67.0,70.0,70.0,-11.202692,17.873887
23,Angola,Umbundu,9400000.0,29.0,70.0,70.0,-11.202692,17.873887
24,Angola,Kimbundu,8100000.0,25.0,10.0,10.0,-11.202692,17.873887
25,Angola,Lingala,220.0,0.67,70.0,70.0,-11.202692,17.873887
26,Anguilla,English,17.0,95.0,95.0,95.0,18.220554,-63.068615
27,Antarctica,Unknown language,300.0,100.0,99.0,99.0,-75.250973,-0.071389
28,Argentina,Spanish,45000000.0,100.0,98.0,98.0,-38.416097,-63.616672
29,Argentina,English,3200000.0,7.0,98.0,98.0,-38.416097,-63.616672
30,Argentina,Welsh,30.0,66.0,98.0,98.0,-38.416097,-63.616672
31,Argentina,Guarani,21.0,47.0,98.0,98.0,-38.416097,-63.616672
32,Armenia,Armenian,3000000.0,98.0,100.0,100.0,40.069099,45.038189
33,Armenia,Kurdish,100.0,3.3,100.0,100.0,40.069099,45.038189
34,Armenia,Azerbaijani,0.0,0.0,,,40.069099,45.038189
35,Aruba,Dutch,120.0,97.0,97.0,97.0,12.52111,-69.968338
36,Aruba,Papiamento,73.0,61.0,97.0,97.0,12.52111,-69.968338
37,Aruba,English,3.0,2.5,97.0,97.0,12.52111,-69.968338
38,Australia,English,24000000.0,96.0,99.0,99.0,-25.274398,133.775136
39,Australia,Traditional Chinese,530.0,2.1,99.0,99.0,-25.274398,133.775136
40,Australia,Italian,480.0,1.9,99.0,99.0,-25.274398,133.775136
41,Australia,Warlpiri,25.0,98.0,99.0,99.0,-25.274398,133.775136
42,Austria,German,8600000.0,97.0,98.0,98.0,47.516231,14.550072
43,Austria,Bavarian,8400000.0,95.0,98.0,98.0,47.516231,14.550072
44,Austria,English,6500000.0,73.0,98.0,98.0,47.516231,14.550072
45,Austria,French,970.0,11.0,98.0,98.0,47.516231,14.550072
46,Austria,Italian,800.0,9.0,98.0,98.0,47.516231,14.550072
47,Austria,Croatian,110.0,1.2,98.0,98.0,47.516231,14.550072
48,Austria,Slovenian,33.0,0.37,98.0,98.0,47.516231,14.550072
49,Austria,Hungarian,23.0,0.26,98.0,98.0,47.516231,14.550072
50,Azerbaijan,Azerbaijani,9100000.0,89.0,100.0,100.0,40.143105,47.576927
51,Azerbaijan,Azerbaijani (Cyrillic),1000000.0,9.9,100.0,100.0,40.143105,47.576927
52,Azerbaijan,Talysh,1000000.0,9.8,100.0,100.0,40.143105,47.576927
53,Azerbaijan,Kurdish,24.0,0.24,100.0,100.0,40.143105,47.576927
54,Azerbaijan,Muslim Tat,22.0,0.22,100.0,100.0,40.143105,47.576927
55,Azerbaijan,Tsakhur,16.0,0.16,100.0,100.0,40.143105,47.576927
56,Bahamas,English,340.0,100.0,96.0,96.0,25.03428,-77.39628
57,Bahrain,Arabic,1300000.0,87.0,95.0,95.0,25.930414,50.637772
58,Bahrain,Malayalam,50.0,3.3,95.0,95.0,25.930414,50.637772
59,Bangladesh,Bangla,160000000.0,98.0,58.0,58.0,23.684994,90.356331
60,Bangladesh,English,29000000.0,18.0,58.0,58.0,23.684994,90.356331
61,Bangladesh,Rangpuri,11000000.0,6.5,20.0,20.0,23.684994,90.356331
62,Bangladesh,Sylheti,8100000.0,5.0,35.0,35.0,23.684994,90.356331
63,Bangladesh,Chakma,360.0,0.22,58.0,58.0,23.684994,90.356331
64,Bangladesh,Burmese,340.0,0.21,58.0,58.0,23.684994,90.356331
65,Bangladesh,Garo,120.0,73.0,58.0,58.0,23.684994,90.356331
66,Bangladesh,Mru,29.0,18.0,58.0,58.0,23.684994,90.356331
67,Bangladesh,Manipuri,18.0,11.0,58.0,58.0,23.684994,90.356331
68,Barbados,English,290.0,100.0,100.0,100.0,13.193887,-59.543198
69,Belarus,Belarusian,9500000.0,100.0,100.0,100.0,53.709807,27.953389
70,Belarus,Russian,1100000.0,12.0,100.0,100.0,53.709807,27.953389
71,Belgium,English,6900000.0,59.0,99.0,99.0,50.503887,4.469936
72,Belgium,Dutch,6400000.0,55.0,99.0,99.0,50.503887,4.469936
73,Belgium,French,4500000.0,38.0,99.0,99.0,50.503887,4.469936
74,Belgium,German,2600000.0,22.0,99.0,99.0,50.503887,4.469936
75,Belgium,West Flemish,1200000.0,10.0,99.0,99.0,50.503887,4.469936
76,Belgium,Walloon,680.0,5.8,99.0,5.0,50.503887,4.469936
77,Belize,English,400.0,100.0,77.0,77.0,17.189877,-88.49765
78,Belize,Spanish,110.0,28.0,77.0,77.0,17.189877,-88.49765
79,Benin,French,4500000.0,35.0,42.0,42.0,9.30769,2.315834
80,Benin,Fon,3200000.0,25.0,42.0,42.0,9.30769,2.315834
81,Benin,Yoruba,860.0,6.7,42.0,42.0,9.30769,2.315834
82,Bermuda,English,66.0,92.0,98.0,98.0,32.321384,-64.75737
83,Bhutan,Dzongkha,370.0,47.0,53.0,53.0,27.514162,90.433601
84,Bhutan,Nepali,130.0,17.0,53.0,53.0,27.514162,90.433601
85,Bhutan,Tshangla,120.0,15.0,53.0,53.0,27.514162,90.433601
86,Bhutan,English,86.0,11.0,53.0,53.0,27.514162,90.433601
87,Bhutan,Lepcha,31.0,3.9,53.0,53.0,27.514162,90.433601
88,Bolivia,Spanish,7100000.0,61.0,91.0,91.0,-16.290154,-63.588653
89,Bolivia,Quechua,3700000.0,32.0,91.0,91.0,-16.290154,-63.588653
90,Bolivia,Aymara,2300000.0,20.0,91.0,91.0,-16.290154,-63.588653
91,Bolivia,Guarani,52.0,0.45,91.0,91.0,-16.290154,-63.588653
92,Bolivia,Araona,100.0,90.0,91.0,91.0,-16.290154,-63.588653
93,Botswana,English,1900000.0,81.0,85.0,85.0,-22.328474,24.684866
94,Botswana,Tswana,1400000.0,62.0,85.0,85.0,-22.328474,24.684866
95,Botswana,Afrikaans,6.0,0.26,85.0,85.0,-22.328474,24.684866
96,Bouvet Island,Unknown language,1.0,100.0,99.0,99.0,-54.423199,3.413194
97,Brazil,Portuguese,190000000.0,91.0,90.0,90.0,-14.235004,-51.92528
98,Brazil,English,17000000.0,8.0,90.0,90.0,-14.235004,-51.92528
99,Brazil,German,1800000.0,0.84,90.0,90.0,-14.235004,-51.92528
100,Brazil,Italian,590.0,0.28,90.0,90.0,-14.235004,-51.92528
101,Brazil,Japanese,440.0,0.21,90.0,90.0,-14.235004,-51.92528
102,Brazil,Spanish,76.0,36.0,90.0,90.0,-14.235004,-51.92528
103,Brazil,Kaingang,51.0,24.0,90.0,90.0,-14.235004,-51.92528
104,Brazil,Korean,44.0,21.0,90.0,90.0,-14.235004,-51.92528
105,Brazil,Guajajára,18.0,84.0,90.0,90.0,-14.235004,-51.92528
106,Brazil,Nheengatu,11.0,52.0,90.0,90.0,-14.235004,-51.92528
107,Brazil,Xavánte,10.0,47.0,90.0,90.0,-14.235004,-51.92528
108,British Indian Ocean Territory,English,35.0,100.0,100.0,100.0,-6.343194,71.876519
109,British Virgin Islands,English,37.0,98.0,98.0,98.0,18.420695,-64.639968
110,Brunei,Malay,430.0,93.0,95.0,95.0,4.535277,114.727669
111,Brunei,Traditional Chinese,51.0,11.0,95.0,95.0,4.535277,114.727669
112,Brunei,Malay (Arabic),23.0,5.0,95.0,95.0,4.535277,114.727669
113,Brunei,English,79.0,1.7,95.0,95.0,4.535277,114.727669
114,Bulgaria,Bulgarian,7000000.0,100.0,98.0,98.0,42.733883,25.48583
115,Bulgaria,English,1700000.0,25.0,98.0,98.0,42.733883,25.48583
116,Bulgaria,Russian,1600000.0,23.0,98.0,98.0,42.733883,25.48583
117,Bulgaria,Turkish,770.0,11.0,98.0,98.0,42.733883,25.48583
118,Bulgaria,German,560.0,8.0,98.0,98.0,42.733883,25.48583
119,Burkina Faso,Mossi,8300000.0,40.0,29.0,29.0,12.238333,-1.561593
120,Burkina Faso,Dyula,6700000.0,32.0,29.0,29.0,12.238333,-1.561593
121,Burkina Faso,French,4600000.0,22.0,29.0,29.0,12.238333,-1.561593
122,Burkina Faso,Fulah,0.0,0.0,,,12.238333,-1.561593
123,Burkina Faso,Fulah (Adlam),0.0,0.0,,,12.238333,-1.561593
124,Burundi,Rundi,7500000.0,63.0,67.0,67.0,-3.373056,29.918886
125,Burundi,French,7000000.0,59.0,67.0,67.0,-3.373056,29.918886
126,Burundi,Swahili,64.0,54.0,67.0,67.0,-3.373056,29.918886
127,Burundi,English,63.0,53.0,67.0,67.0,-3.373056,29.918886
128,Cambodia,Khmer,15000000.0,89.0,74.0,74.0,12.565679,104.990963
129,Cambodia,Western Cham,270.0,1.6,74.0,74.0,12.565679,104.990963
130,Cambodia,Kuy,19.0,0.11,74.0,74.0,12.565679,104.990963
131,Cameroon,French,19000000.0,68.0,71.0,71.0,7.369722,12.354722
132,Cameroon,English,11000000.0,38.0,71.0,71.0,7.369722,12.354722
133,Cameroon,Bulu,1300000.0,4.6,71.0,71.0,7.369722,12.354722
134,Cameroon,Fulah,1000000.0,3.6,71.0,71.0,7.369722,12.354722
135,Cameroon,Ewondo,860.0,3.1,15.0,15.0,7.369722,12.354722
136,Cameroon,Yemba,440.0,1.6,2.0,2.0,7.369722,12.354722
137,Cameroon,Ghomala,390.0,1.4,25.0,25.0,7.369722,12.354722
138,Cameroon,Ngiemboon,390.0,1.4,8.0,8.0,7.369722,12.354722
139,Cameroon,Kom,360.0,1.3,71.0,5.0,7.369722,12.354722
140,Cameroon,Basaa,330.0,1.2,25.0,25.0,7.369722,12.354722
141,Cameroon,Bamun,330.0,1.2,71.0,71.0,7.369722,12.354722
